,F,I,tfidf,H,H-tilde,H-tilde_std,N
aight,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aiight,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aiiight,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aim,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aimin,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aiming,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aint,0.0036268488570701746,0.7924764270938098,1.5727770137277075,6.745165670427074,7.537642097520884,0.04056481116195477,499
air,0.00021077879129265546,0.7893132773739997,4.07882270718441,3.9523029776623857,4.741616255036385,0.08423910081492406,29
airbag,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
airin,1.453646836501072e-05,-0.0019999999999992246,4.923623917106626,1.0,0.9980000000000008,0.04467661580736863,2
airplay,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
airport,2.180470254751608e-05,-0.006666666666668153,4.518158808998462,1.584962500721156,1.578295834054488,0.06633249580748596,3
airwaves,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
ajax,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
ak,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aka,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
akeem,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
akron,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
al,3.6341170912526803e-05,-0.01895097750040131,4.007333185232471,2.321928094887362,2.302977117386961,0.08800692392066568,5
alarm,1.453646836501072e-05,-0.0019999999999992246,4.923623917106626,1.0,0.9980000000000008,0.04467661580736863,2
alaska,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
album,8.721881019006432e-05,-0.04498120312594178,3.131864447878571,3.584962500721156,3.5399812975952143,0.0865522876037432,12
albums,3.6341170912526803e-05,-0.019750977500401667,4.007333185232471,2.321928094887362,2.3021771173869605,0.09140162522613936,5
alcohol,2.907293673002144e-05,-0.016999999999998572,4.230476736546681,2.0,1.9830000000000014,0.09061456836513512,4
aleady,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alert,4.360940509503216e-05,0.31400000000001427,4.808799822278965,2.2516291673878226,2.565629167387837,0.07932773089405801,6
alerts,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aleshia,1.453646836501072e-05,-0.004999999999999227,4.923623917106626,1.0,0.9950000000000008,0.07053367989832436,2
alexander,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alfredo,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
ali,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alias,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alice,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alien,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alienated,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
align,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alignment,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alike,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alisha,2.180470254751608e-05,-0.009333333333334748,4.518158808998462,1.584962500721156,1.5756291673878213,0.07832695009485026,3
alive,0.00012355998110259112,0.5154227330865724,3.990843814114276,3.499227547132692,4.014650280219264,0.09148510785995889,17
alizein,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
all,0.007326380055965403,0.3349525930920354,0.8286178616746827,7.437823543751554,7.772776136843589,0.023589703774766862,1008
allegations,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
allen,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
allergic,1.453646836501072e-05,-0.005999999999999228,4.923623917106626,1.0,0.9940000000000008,0.07722693830522606,2
alley,1.453646836501072e-05,-0.004999999999999227,4.923623917106626,1.0,0.9950000000000008,0.07053367989832436,2
allow,3.6341170912526803e-05,1.336577500432725,12.309059792766565,0.9709505944546686,2.3075280948873935,0.0745160385411981,5
allowance,1.453646836501072e-05,0.9970000000000008,11.233542195333143,0.0,0.9970000000000008,0.05469003565549385,2
allowed,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
allows,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
almighty,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
almost,7.268234182505361e-05,0.3591735337493094,4.42166194498342,2.9219280948873623,3.2811016286366717,0.08967532441252304,10
alohas,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alone,0.0004724352218628484,1.03365212377114,3.9963731543610774,4.7379994521767,5.77165157594784,0.07579643436249509,65
along,0.00018897408874513937,0.6770489933264474,3.938132379668365,3.917188642118004,4.594237635444451,0.08463461099279677,26
alot,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
aloud,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alpha,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
alpo,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
already,0.0006759457789729985,1.8045576996582824,4.160867561491378,4.38060951876111,6.185167218419393,0.07604528598400702,93
alright,0.00021077879129265546,1.1622951903809762,5.155080555461057,3.581444787932611,4.743739978313587,0.08476204482693082,29
alright2,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
also,2.180470254751608e-05,-0.010666666666667934,4.518158808998462,1.584962500721156,1.5742958340544881,0.08365006475420841,3
alter,7.26823418250536e-06,0.0,5.616771097666572,0.0,0.0,0.0,1
